,time,origin,value
204,1675393200000.0,3,271.2874755859375
205,1675394100000.0,3,271.1083679199219
206,1675395000000.0,3,271.3846130371094
207,1675395900000.0,3,271.5002136230469
208,1675396800000.0,3,271.5270080566406
209,1675397700000.0,3,271.5790710449219
210,1675398600000.0,3,271.66162109375
211,1675399500000.0,3,271.73388671875
212,1675400400000.0,3,271.6625671386719
213,1675401300000.0,3,271.507080078125
214,1675402200000.0,3,271.1252136230469
215,1675403100000.0,3,270.63134765625
216,1675404000000.0,3,270.3534851074219
217,1675404900000.0,3,269.9874572753906
218,1675405800000.0,3,270.0053405761719
219,1675406700000.0,3,270.3743896484375
220,1675407600000.0,3,270.627685546875
221,1675408500000.0,3,270.8679504394531
222,1675409400000.0,3,271.2353820800781
223,1675410300000.0,3,271.5419921875
224,1675411200000.0,3,271.7822265625
225,1675412100000.0,3,271.8831787109375
226,1675413000000.0,3,272.0274963378906
227,1675413900000.0,3,272.2322692871094
228,1675414800000.0,3,272.428955078125
229,1675415700000.0,3,272.5704650878906
230,1675416600000.0,3,272.74810791015625
231,1675417500000.0,3,272.851318359375
232,1675418400000.0,3,272.9892883300781
233,1675419300000.0,3,273.095703125
234,1675420200000.0,3,273.1346740722656
235,1675421100000.0,3,273.20648193359375
236,1675422000000.0,3,273.2434997558594
237,1675422900000.0,3,273.2262878417969
238,1675423800000.0,3,273.2729797363281
239,1675424700000.0,3,273.2896728515625
240,1675425600000.0,3,273.32366943359375
241,1675426500000.0,3,273.33294677734375
242,1675427400000.0,3,273.4327392578125
243,1675428300000.0,3,273.4561767578125
244,1675429200000.0,3,273.4034118652344
245,1675430100000.0,3,273.3088684082031
246,1675431000000.0,3,273.21441650390625
247,1675431900000.0,3,273.1814880371094
248,1675432800000.0,3,273.113037109375
249,1675433700000.0,3,273.0284423828125
250,1675434600000.0,3,272.8941345214844
251,1675435500000.0,3,272.784423828125
252,1675436400000.0,3,272.6424865722656
253,1675437300000.0,3,272.4976806640625
254,1675438200000.0,3,272.422607421875
255,1675439100000.0,3,272.36260986328125
256,1675440000000.0,3,272.33868408203125
257,1675440900000.0,3,272.33056640625
